0,,,
1,任务道具,Key Item,イベントアイテム
2,任务指令,Interaction,イベントアクション
3,冲刺,Sprint,スプリント
4,坐骑,Mount,マウント
5,传送,Teleport,テレポ
6,返回,Return,デジョン
7,攻击,attack,攻撃
8,射击,Shot,ショット
9,先锋剑,Fast Blade,ファストブレード
10,铁壁,Rampart,ランパート
11,狂怒剑,Savage Blade,サベッジブレード
12,渐愈,Convalescence,コンバレセンス
13,警觉,Awareness,アウェアネス
14,闪光,Flash,フラッシュ
15,暴乱剑,Riot Blade,ライオットソード
16,盾牌猛击,Shield Bash,シールドバッシュ
17,预警,Sentinel,センチネル
18,挑衅,Provoke,挑発
19,钢铁意志,Tempered Will,鋼の意志
20,战逃反应,Fight or Flight,ファイト・オア・フライト
21,战女神之怒,Rage of Halone,レイジ・オブ・ハルオーネ
22,壁垒,Bulwark,ブルワーク
23,厄运流转,Circle of Scorn,サークル・オブ・ドゥーム
24,投盾,Shield Lob,シールドロブ
25,盾牌重击,Shield Swipe,シールドスワイプ
26,忠义之剑,Sword Oath,忠義の剣
27,保护,Cover,かばう
28,钢铁信念,Iron Will,アイアンウィル
29,深奥之灵,Spirits Within,スピリッツウィズイン
30,神圣领域,Hallowed Ground,インビンシブル
31,重劈,Heavy Swing,ヘヴィスウィング
32,预见,Foresight,フォーサイト
33,碎骨打,Fracture,フラクチャー
34,浴血,Bloodbath,ブラッドバス
35,裂骨斩,Skull Sunder,スカルサンダー
36,慈悲杀,Mercy Stroke,マーシーストローク
37,凶残裂,Maim,メイム
38,狂暴,Berserk,バーサク
39,残暴斧,Brutal Swing,ブルータルスウィング
40,战栗,Thrill of Battle,スリル・オブ・バトル
41,超压斧,Overpower,オーバーパワー
42,暴风斩,Storm's Path,シュトルムヴィント
43,死斗,Holmgang,ホルムギャング
44,复仇,Vengeance,ヴェンジェンス
45,暴风碎,Storm's Eye,シュトルムブレハ
46,飞斧,Tomahawk,トマホーク
47,寒风斧,Butcher's Block,ボーラアクス
48,守护,Defiance,ディフェンダー
49,原初之魂,Inner Beast,原初の魂
50,解脱,Unchained,アンチェインド
51,钢铁旋风,Steel Cyclone,スチールサイクロン
52,战嚎,Infuriate,ウォークライ
53,连击,Bootshine,連撃
54,正拳,True Strike,正拳突き
55,飘羽步,Featherfoot,フェザーステップ
56,崩拳,Snap Punch,崩拳
57,内丹,Second Wind,内丹
58,闪身拳,Haymaker,カウンター
59,发劲,Internal Release,発勁
60,金刚体势,Fists of Earth,金剛の構え
61,双掌打,Twin Snakes,双掌打
62,破坏神冲,Arm of the Destroyer,壊神衝
63,红莲体势,Fists of Fire,紅蓮の構え
64,铁山靠,Steel Peak,鉄山靠
65,真言,Mantra,マントラ
66,破碎拳,Demolish,破砕拳
67,空鸣拳,Howling Fist,空鳴拳
68,秘孔拳,Touch of Death,秘孔拳
69,震脚,Perfect Balance,踏鳴
70,地烈劲,Rockbreaker,地烈斬
71,罗刹冲,Shoulder Tackle,羅刹衝
72,短劲,One Ilm Punch,短勁
73,疾风体势,Fists of Wind,疾風の構え
74,双龙脚,Dragon Kick,双竜脚
75,精准刺,True Thrust,トゥルースラスト
76,虚枪,Feint,フェイント
77,敏锐,Keen Flurry,キーンフラーリ
78,贯通刺,Vorpal Thrust,ボーパルスラスト
79,重刺,Heavy Thrust,ヘヴィスラスト
80,运气,Invigorate,気合
81,脉冲枪,Impulse Drive,インパルスドライヴ
82,扫堂枪,Leg Sweep,足払い
83,龙剑,Life Surge,ライフサージ
84,直刺,Full Thrust,フルスラスト
85,猛枪,Lance Charge,ランスチャージ
86,死天枪,Doom Spike,ドゥームスパイク
87,开膛枪,Disembowel,ディセムボウル
88,樱花怒放,Chaos Thrust,桜華狂咲
89,荆棘环刺,Ring of Thorns,リング・オブ・ソーン
90,贯穿尖,Piercing Talon,ピアシングタロン
91,二重刺,Phlebotomize,二段突き
92,跳跃,Jump,ジャンプ
93,龙枪,Power Surge,竜槍
94,回避跳跃,Elusive Jump,イルーシブジャンプ
95,破碎冲,Spineshatter Dive,スパインダイブ
96,龙炎冲,Dragonfire Dive,ドラゴンダイブ
97,强力射击,Heavy Shot,ヘヴィショット
98,直线射击,Straight Shot,ストレートショット
99,鹰眼,Hawk's Eye,ホークアイ
100,毒咬箭,Venomous Bite,ベノムバイト
101,猛者强击,Raging Strikes,猛者の撃
102,烈火箭,Flaming Arrow,フレイミングアロー
103,恶终箭,Misery's End,ミザリーエンド
104,静者强击,Quelling Strikes,静者の撃
105,敏捷之歌,Swiftsong,スウィフトソング
106,连珠箭,Quick Nock,クイックノック
107,纷乱箭,Barrage,乱れ撃ち
108,定影箭,Shadowbind,影縫い
109,迟钝箭,Blunt Arrow,ブラントアロー
110,失血箭,Bloodletter,ブラッドレッター
111,广域群射,Wide Volley,ワイドボレー
112,后跃射击,Repelling Shot,リペリングショット
113,风蚀箭,Windbite,ウィンドバイト
114,贤者的叙事谣,Mage's Ballad,賢人のバラード
115,魔人的安魂曲,Foe Requiem,魔人のレクイエム
116,军神的赞美歌,Army's Paeon,軍神のパイオン
117,死亡箭雨,Rain of Death,レイン・オブ・デス
118,战斗之声,Battle Voice,バトルボイス
119,飞石,Stone,ストーン
120,治疗,Cure,ケアル
121,疾风,Aero,エアロ
122,战姿,Cleric Stance,クルセードスタンス
123,护盾,Protect,プロテス
124,医治,Medica,メディカ
125,复活,Raise,レイズ
126,康复,Esuna,エスナ
127,坚石,Stone II,ストンラ
128,沉静,Repose,リポーズ
129,石肤,Stoneskin,ストンスキン
130,女神的加护,Shroud of Saints,女神の加護
131,愈疗,Cure III,ケアルガ
132,烈风,Aero II,エアロラ
133,医济,Medica II,メディカラ
134,水流环,Fluid Aura,アクアオーラ
135,救疗,Cure II,ケアルラ
136,神速咏唱,Presence of Mind,神速魔
137,再生,Regen,リジェネ
138,神封印,Divine Seal,ディヴァインシール
139,神圣,Holy,ホーリー
140,天赐祝福,Benediction,ベネディクション
141,火炎,Fire,ファイア
142,冰结,Blizzard,ブリザド
143,沉稳咏唱,Surecast,堅実魔
144,闪雷,Thunder,サンダー
145,催眠,Sleep,スリプル
146,冰冻,Blizzard II,ブリザラ
147,烈炎,Fire II,ファイラ
148,震雷,Thunder II,サンダラ
149,星灵移位,Transpose,トランス
150,即刻咏唱,Swiftcast,迅速魔
151,昏沉,Lethargy,レサージー
152,爆炎,Fire III,ファイガ
153,暴雷,Thunder III,サンダガ
154,冰封,Blizzard III,ブリザガ
155,以太步,Aetherial Manipulation,エーテリアルステップ
156,崩溃,Scathe,コラプス
157,魔罩,Manaward,マバリア
158,魔泉,Manafont,マナフォント
159,玄冰,Freeze,フリーズ
160,万有复兴,Apocatastasis,アポカタスタシス
161,坚壁,Manawall,ウォール
162,核爆,Flare,フレア
163,毁灭,Ruin,ルイン
164,毒菌,Bio,バイオ
165,召唤,Summon,サモン
166,以太超流,Aetherflow,エーテルフロー
167,能量吸收,Energy Drain,エナジードレイン
168,瘴气,Miasma,ミアズマ
169,病毒,Virus,ウイルス
170,召唤II,Summon II,サモンII
171,维持,Sustain,サステイン
172,毁坏,Ruin II,ルインラ
173,复生,Resurrection,リザレク
174,灾祸,Bane,ベイン
175,以眼还眼,Eye for an Eye,アイ・フォー・アイ
176,振奋,Rouse,ラウズ
177,瘴疠,Miasma II,ミアズラ
178,猛毒菌,Bio II,バイオラ
179,暗影核爆,Shadow Flare,シャドウフレア
180,召唤III,Summon III,サモンIII
181,溃烂爆发,Fester,ミアズマバースト
182,三重止步,Tri-bind,トライバインド
183,鞭策,Spur,スパー
184,内力迸发,Enkindle,エンキンドル
185,鼓舞激励之策,Adloquium,鼓舞激励の策
186,士气高扬之策,Succor,士気高揚の策
187,生命净化法,Leeches,生命浄化法
188,野战治疗阵,Sacred Soil,野戦治療の陣
189,生命活性法,Lustrate,生命活性法
190,医术,Physick,フィジク
191,坚石肤,Stoneskin II,ストンラスキン
192,,,
193,,,
194,,,
195,,,
196,反撃効果,反撃効果,反撃効果
197,铜墙铁盾,Shield Wall,シールドウォール
198,坚守要塞,Stronghold,ストロングホールド
199,终极堡垒,Last Bastion,ラストバスティオン
200,勇猛烈斩,Braver,ブレイバー
201,刀光剑舞,Bladedance,ブレードダンス
202,最终天堂,Final Heaven,ファイナルヘヴン
203,苍穹破碎,Skyshard,スカイシャード
204,星体风暴,Starstorm,プチメテオ
205,陨石流星,Meteor,メテオ
206,治愈微风,Healing Wind,癒しの風
207,大地气息,Breath of the Earth,大地の息吹
208,生命鼓动,Pulse of Life,生命の鼓動
209,极限技,Limit Break,
210,三角测量,Triangulate,トライアングレート
211,树木之声,Arbor Call,アーバーコール
212,潜行,Stealth,ステルス
213,筹备,Preparation,プレパレーション
214,开拓者之手,Toil of the Pioneer,開拓者の手
215,农夫之智,Ageless Words,老農の知
