0,,,
1,所有职业,All Classes,全クラス
2,剑术师,GLA,剣術士
3,格斗家,PGL,格闘士
4,斧术师,MRD,斧術士
5,枪术师,LNC,槍術士
6,弓箭手,ARC,弓術士
7,幻术师,CNJ,幻術士
8,咒术师,THM,呪術士
9,刻木匠,CRP,木工師
10,锻铁匠,BSM,鍛冶師
11,铸甲匠,ARM,甲冑師
12,雕金匠,GSM,彫金師
13,制革匠,LTW,革細工師
14,裁衣匠,WVR,裁縫師
15,炼金术士,ALC,錬金術師
16,烹调师,CUL,調理師
17,采矿工,MIN,採掘師
18,园艺工,BTN,園芸師
19,捕鱼人,FSH,漁師
20,骑士,PLD,ナイト
21,武僧,MNK,モンク
22,战士,WAR,戦士
23,龙骑士,DRG,竜騎士
24,吟游诗人,BRD,吟遊詩人
25,白魔法师,WHM,白魔道士
26,黑魔法师,BLM,黒魔道士
27,秘术师,ACN,巴術士
28,召唤师,SMN,召喚士
29,学者,SCH,学者
30,战斗精英,Disciple of War,ファイター
31,魔法导师,Disciple of Magic,ソーサラー
32,大地使者,Disciple of the Land,ギャザラー
33,能工巧匠,Disciple of the Hand,クラフター
34,战斗精英 魔法导师,Disciples of War or Magic,ファイター ソーサラー
35,能工巧匠 大地使者,Disciples of the Land or Hand,クラフター ギャザラー
36,剑术师之外的战斗精英,Any Disciple of War (excluding gladiators),剣術士を除くファイター
37,剑术师 格斗家 斧术师 枪术师 弓箭手 双剑师 幻术师 咒术师 秘术师 骑士 战士 暗黑骑士,GLA PGL MRD LNC ARC ROG CNJ THM ACN PLD WAR DRK,剣術士 格闘士 斧術士 槍術士 弓術士 双剣士 幻術士 呪術士 巴術士 ナイト 戦士 暗黒騎士
38,剑术师 骑士,GLA PLD,剣術士 ナイト
39,剑术师 格斗家 斧术师 枪术师 弓箭手 双剑师 骑士 战士 暗黑骑士,GLA PGL MRD LNC ARC ROG PLD WAR DRK,剣術士 格闘士 斧術士 槍術士 弓術士 双剣士 ナイト 戦士 暗黒騎士
40,剑术师 格斗家 斧术师 枪术师 弓箭手 双剑师 幻术师 咒术师 秘术师 武僧 战士 龙骑士 吟游诗人 忍者,GLA PGL MRD LNC ARC ROG CNJ THM ACN MNK WAR DRG BRD NIN,剣術士 格闘士 斧術士 槍術士 弓術士 双剣士 幻術士 呪術士 巴術士 モンク 戦士 竜騎士 吟遊詩人 忍者
41,格斗家 武僧,PGL MNK,格闘士 モンク
42,剑术师 格斗家 斧术师 枪术师 弓箭手 双剑师 武僧 战士 龙骑士 吟游诗人 忍者,GLA PGL MRD LNC ARC ROG MNK WAR DRG BRD NIN,剣術士 格闘士 斧術士 槍術士 弓術士 双剣士 モンク 戦士 竜騎士 吟遊詩人 忍者
43,剑术师 格斗家 斧术师 枪术师 弓箭手 双剑师 幻术师 咒术师 秘术师 骑士 武僧 战士 龙骑士 暗黑骑士,GLA PGL MRD LNC ARC ROG CNJ THM ACN PLD MNK WAR DRG DRK,剣術士 格闘士 斧術士 槍術士 弓術士 双剣士 幻術士 呪術士 巴術士 ナイト モンク 戦士 竜騎士 暗黒騎士
44,斧术师 战士,MRD WAR,斧術士 戦士
45,剑术师 格斗家 斧术师 枪术师 弓箭手 双剑师 骑士 武僧 战士 龙骑士 暗黑骑士,GLA PGL MRD LNC ARC ROG PLD MNK WAR DRG DRK,剣術士 格闘士 斧術士 槍術士 弓術士 双剣士 ナイト モンク 戦士 竜騎士 暗黒騎士
46,剑术师 格斗家 斧术师 枪术师 弓箭手 双剑师 幻术师 咒术师 秘术师 武僧 龙骑士 吟游诗人 忍者 机工士,GLA PGL MRD LNC ARC ROG CNJ THM ACN MNK DRG BRD NIN MCH,剣術士 格闘士 斧術士 槍術士 弓術士 双剣士 幻術士 呪術士 巴術士 モンク 竜騎士 吟遊詩人 忍者 機工士
47,枪术师 龙骑士,LNC DRG,槍術士 竜騎士
48,剑术师 格斗家 斧术师 枪术师 弓箭手 双剑师 武僧 龙骑士 吟游诗人 忍者 机工士,GLA PGL MRD LNC ARC ROG MNK DRG BRD NIN MCH,剣術士 格闘士 斧術士 槍術士 弓術士 双剣士 モンク 竜騎士 吟遊詩人 忍者 機工士
49,剑术师 格斗家 斧术师 枪术师 弓箭手 双剑师 幻术师 咒术师 秘术师 吟游诗人 黑魔法师 召唤师 机工士,GLA PGL MRD LNC ARC ROG CNJ THM ACN BRD BLM SMN MCH,剣術士 格闘士 斧術士 槍術士 弓術士 双剣士 幻術士 呪術士 巴術士 吟遊詩人 黒魔道士 召喚士 機工士
50,弓箭手 吟游诗人,ARC BRD,弓術士 吟遊詩人
51,剑术师 格斗家 斧术师 枪术师 弓箭手 双剑师 吟游诗人 机工士,GLA PGL MRD LNC ARC ROG BRD MCH,剣術士 格闘士 斧術士 槍術士 弓術士 双剣士 吟遊詩人 機工士
52,剑术师 格斗家 斧术师 枪术师 弓箭手 双剑师 幻术师 咒术师 秘术师 骑士 白魔法师 学者 占星术士,GLA PGL MRD LNC ARC ROG CNJ THM ACN PLD WHM SCH AST,剣術士 格闘士 斧術士 槍術士 弓術士 双剣士 幻術士 呪術士 巴術士 ナイト 白魔道士 学者 占星術師
53,幻术师 白魔法师,CNJ WHM,幻術士 白魔道士
