1000000,,,
1000001,,,
1000002,,,
1000003,,,
1000004,,,
1000005,,,
1000006,,,
1000007,,,
1000008,,,
1000009,,,
1000010,,,
1000011,,,
1000012,,,
1000013,,,
1000014,,,
1000015,,,
1000016,,,
1000017,,,
1000018,,,
1000019,,,
1000020,,,
1000021,,,
1000022,,,
1000023,,,
1000024,,,
1000025,,,
1000026,,,
1000027,,,
1000028,,,
1000029,,,
1000030,,,
1000031,,,
1000032,,,
1000033,,,
1000034,,,
1000035,,,
1000036,,,
1000037,,,
1000038,,,
1000039,,,
1000040,,,
1000041,,,
1000042,,,
1000043,,,
1000044,,,
1000045,,,
1000046,,,
1000047,,,
1000048,,,
1000049,,,
1000050,,,
1000051,,,
1000052,,,
1000053,,,
1000054,,,
1000055,,,
1000056,,,
1000057,,,
1000058,,,
1000059,,,
1000060,,,
1000061,,,
1000062,,,
1000063,邮差莫古力,delivery moogle,レターモーグリ
1000064,,,
1000065,,,
1000066,,,
1000067,,,
1000068,,,
1000069,,,
1000070,,,
1000071,,,
1000072,,,
1000073,,,
1000074,,,
1000075,,,
1000076,,,
1000077,,,
1000078,,,
1000079,,,
1000080,,,
1000081,,,
1000082,,,
1000083,,,
1000084,,,
1000085,,,
1000086,,,
1000087,,,
1000088,,,
1000089,,,
1000090,,,
1000091,,,
1000092,,,
1000093,,,
1000094,,,
1000095,,,
1000096,,,
1000097,,,
1000098,,,
1000099,,,
1000100,缪恩,Mother Miounne,ミューヌ
1000101,贡特朗,Gontrant,ゴントラン
1000102,安托瓦诺,Antoinaut,アントアノ
1000103,,,
1000104,盖尔斯,Gyles,ガイルス
1000105,蒂尔尼,Tierney,ティルニー
1000106,利翁内莱,Lionnellais,搭乗窓口 リオンネレー
1000107,希妲,Hida,ヒダ
1000108,,,
1000109,离艇接待员,arrivals attendant,退出窓口
1000110,,,
1000111,,,
1000112,,,
1000113,,,
1000114,,,
1000115,,,
1000116,,,
1000117,,,
1000118,,,
1000119,,,
1000120,,,
1000121,,,
1000122,奥诺兰,Honoraint,オノラン
1000123,贝尔特南,Bertennant,ベルテナン
1000124,,,
1000125,盖伊尔哈德,Gairhard,ゲイルハード
1000126,,,
1000127,乌尔塔,Ulta,ウルタ
1000128,,,
1000129,索琉斯,Solyeux,ソリュー
1000130,,,
1000131,,,
1000132,,,
1000133,,,
1000134,埃斯特兰,Estrelaint,エストルラン
1000135,,,
1000136,辛格尔,Cingur,チョコボ屋 シングール
1000137,,,
1000138,,,
1000139,阿达尔哈德,Adalhard,アダルハード
1000140,法尔阿厄,Pfarahr,ファールアール
1000141,梅玛玛,Memama,メママ
1000142,,,
1000143,,,
1000144,,,
1000145,,,
1000146,伯娜迪特,Bernadette,ベルナデット
1000147,,,
