0,,,
1,金币,gil,ギル
2,火之碎晶,fire shard,ファイアシャード
3,冰之碎晶,ice shard,アイスシャード
4,风之碎晶,wind shard,ウィンドシャード
5,土之碎晶,earth shard,アースシャード
6,雷之碎晶,lightning shard,ライトニングシャード
7,水之碎晶,water shard,ウォーターシャード
8,火之水晶,fire crystal,ファイアクリスタル
9,冰之水晶,ice crystal,アイスクリスタル
10,风之水晶,wind crystal,ウィンドクリスタル
11,土之水晶,earth crystal,アースクリスタル
12,雷之水晶,lightning crystal,ライトニングクリスタル
13,水之水晶,water crystal,ウォータークリスタル
14,火之晶簇,fire cluster,ファイアクラスター
15,冰之晶簇,ice cluster,アイスクラスター
16,风之晶簇,wind cluster,ウィンドクラスター
17,土之晶簇,earth cluster,アースクラスター
18,雷之晶簇,lightning cluster,ライトニングクラスター
19,水之晶簇,water cluster,ウォータークラスター
20,黑涡团军票,Storm Seal,黒渦団軍票
21,双蛇党军票,Serpent Seal,双蛇党軍票
22,恒辉队军票,Flame Seal,不滅隊軍票
23,亚拉戈哲学神典石,Allagan tomestone of philosophy,アラガントームストーン:哲学
24,亚拉戈神话神典石,Allagan tomestone of mythology,アラガントームストーン:神話
25,狼印战绩,Wolf Mark,対人戦績
26,亚拉戈战记神典石,Allagan tomestone of soldiery,アラガントームストーン:戦記
27,同盟徽章,Allied Seal,同盟記章
28,亚拉戈诗学神典石,Allagan tomestone of poetics,アラガントームストーン:詩学
29,金碟币,MGP,マンダヴィル・ゴールドソーサーポイント
30,亚拉戈法典神典石,Allagan tomestone of law,アラガントームストーン:法典
31,亚拉戈禁书神典石,Allagan tomestone of esoterics,アラガントームストーン:禁書
32,亚拉戈传承神典石,Allagan tomestone of lore,アラガントームストーン:伝承
33,亚拉戈圣典神典石,Allagan tomestone of scripture,アラガントームストーン:聖典
34,亚拉戈真理神典石,Allagan tomestone of verity,アラガントームストーン:真理
35,亚拉戈万物神典石,Allagan tomestone of creation,アラガントームストーン:万物
36,亚拉戈虚构神典石,Allagan tomestone of mendacity,アラガントームストーン:虚構
37,亚拉戈创世神典石,Allagan tomestone of genesis,アラガントームストーン:創世
38,亚拉戈魔典神典石,Allagan tomestone of goetia,アラガントームストーン:魔典
39,亚拉戈幻想神典石,Allagan tomestone of phantasmagoria,アラガントームストーン:幻想
40,亚拉戈奇谭神典石,Allagan tomestone of allegory,アラガントームストーン:奇譚
41,亚拉戈默示神典石,Allagan tomestone of revelation,アラガントームストーン:黙示
42,亚拉戈经典神典石,Allagan tomestone of aphorism,アラガントームストーン:経典
43,亚拉戈天文神典石,Allagan tomestone of astronomy,アラガントームストーン:天文
44,,Allagan tomestone of causality,アラガントームストーン:因果
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
