0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,行会理符,Levemete,ギルドリーヴ
19,,,
20,海德林,Hydaelyn,ハイデリン
21,艾欧泽亚,Eorzea,エオルゼア
22,拉诺西亚,La Noscea,ラノシア
23,黑衣森林,The Black Shroud,黒衣森
24,萨纳兰,Thanalan,ザナラーン
25,库尔札斯,Coerthas,クルザス
26,摩杜纳,Mor Dhona,モードゥナ
27,利姆萨·罗敏萨,Limsa Lominsa,リムサ・ロミンサ
28,利姆萨·罗敏萨上层甲板,Limsa Lominsa Upper Decks,リムサ・ロミンサ：上甲板層
29,利姆萨·罗敏萨下层甲板,Limsa Lominsa Lower Decks,リムサ・ロミンサ：下甲板層
30,中拉诺西亚,Middle La Noscea,中央ラノシア
31,拉诺西亚低地,Lower La Noscea,低地ラノシア
32,东拉诺西亚,Eastern La Noscea,東ラノシア
33,西拉诺西亚,Western La Noscea,西ラノシア
34,拉诺西亚高地,Upper La Noscea,高地ラノシア
35,沙斯塔夏溶洞,Sastasha,サスタシャ浸食洞
36,布雷福洛克斯野营地,Brayflox's Longstop,ブレイフロクスの野営地
37,放浪神古神殿,The Wanderer's Palace,ワンダラーパレス
38,,,
39,格里达尼亚,Gridania,グリダニア
40,乌尔达哈现世回廊,Ul'dah - Steps of Nald,ウルダハ：ナル回廊
41,乌尔达哈来生回廊,Ul'dah - Steps of Thal,ウルダハ：ザル回廊
42,西萨纳兰,Western Thanalan,西ザナラーン
43,中萨纳兰,Central Thanalan,中央ザナラーン
44,东萨纳兰,Eastern Thanalan,東ザナラーン
45,南萨纳兰,Southern Thanalan,南ザナラーン
46,北萨纳兰,Northern Thanalan,北ザナラーン
47,樵鸣洞,Cutter's Cry,カッターズクライ
48,铜铃铜山,Copperbell Mines,カッパーベル銅山
49,日影地修炼所,Halatali,ハラタリ修練所
50,喀恩埋没圣堂,The Sunken Temple of Qarn,カルン埋没寺院
51,乌尔达哈,Ul'dah,ウルダハ
52,格里达尼亚新街,New Gridania,グリダニア：新市街
53,格里达尼亚旧街,Old Gridania,グリダニア：旧市街
54,黑衣森林中央林区,Central Shroud,黒衣森：中央森林
55,黑衣森林东部林区,East Shroud,黒衣森：東部森林
56,黑衣森林南部林区,South Shroud,黒衣森：南部森林
57,黑衣森林北部林区,North Shroud,黒衣森：北部森林
58,塔姆·塔拉墓园,The Tam-Tara Deepcroft,タムタラの墓所
59,静语庄园,Haukke Manor,ハウケタ御用邸
60,,,
61,托托·拉克千狱,The Thousand Maws of Toto-Rak,トトラクの千獄
62,伊修加德,Ishgard,イシュガルド
63,库尔札斯中央高地,Coerthas Central Highlands,クルザス中央高地
64,泽梅尔要塞,Dzemael Darkhold,ゼーメル要塞
